OrderNumber,QuantityOrdered,ListPrice,PricePerUnit,Sales,OrderDate,Status,QuarterOfYear,Month,Year,ProductLine,Company,CITY,COUNTRY,DEALSIZE
10282,41,207,100,7071.27,20/08/04,Shipped,3,AUGUST,2004,Classic Cars,Mini Gifts Distributors Ltd.,San Rafael,USA,Large
10293,46,207,100,8411.56,9/9/2004,Shipped,3,SETPEMBER,2004,Classic Cars,Amica Models & Co.,Torino,Italy,Large
10306,31,207,100,6570.76,14/10/04,Shipped,4,OCTOBER,2004,Classic Cars,"AV Stores, Co.",Manchester,UK,Medium
10314,38,207,100,7975.44,22/10/04,Shipped,4,OCTOBER,2004,Classic Cars,Heintze Collectables,Aaarhus,Denmark,Large
10325,42,207,64,2688,5/11/2004,Shipped,4,NOVEMBER,2004,Classic Cars,Baane Mini Imports,Stavern,Norway,Small
10336,33,207,57.22,1888.26,20/11/04,Shipped,4,NOVEMBER,2004,Classic Cars,"La Corne D'abondance, Co.",Paris,France,Small
10348,48,207,52.36,2513.28,1/11/2004,Shipped,4,NOVEMBER,2004,Classic Cars,"Corrida Auto Replicas, Ltd",Madrid,Spain,Small
10359,42,207,100,4764.48,15/12/04,Shipped,4,DECEMBER,2004,Classic Cars,Reims Collectables,Reims,France,Medium
10371,32,207,100,3560.64,23/01/05,Shipped,1,JANUARY,2005,Classic Cars,Mini Gifts Distributors Ltd.,San Rafael,USA,Medium
10382,34,207,100,3823.64,17/02/05,Shipped,1,FEBRUARY,2005,Classic Cars,Mini Gifts Distributors Ltd.,San Rafael,USA,Medium
10395,33,207,69.12,2280.96,17/03/05,Shipped,1,MARCH,2005,Classic Cars,Lyon Souveniers,Paris,France,Small
10413,36,207,100,8677.8,5/5/2005,Shipped,2,MAY,2005,Classic Cars,Gift Depot Inc.,Bridgewater,USA,Large
10103,27,136,100,3394.98,29/01/03,Shipped,1,JANUARY,2003,Trucks and Buses,Baane Mini Imports,Stavern,Norway,Medium
10113,21,136,100,3415.44,26/03/03,Shipped,1,MARCH,2003,Trucks and Buses,Mini Gifts Distributors Ltd.,San Rafael,USA,Medium
10126,21,136,100,2439.57,28/05/03,Shipped,2,MAY,2003,Trucks and Buses,"Corrida Auto Replicas, Ltd",Madrid,Spain,Small
10140,38,136,100,4829.8,24/07/03,Shipped,3,JULY,2003,Trucks and Buses,Technics Stores Inc.,Burlingame,USA,Medium
10150,30,136,100,4100.1,19/09/03,Shipped,3,SETPEMBER,2003,Trucks and Buses,"Dragon Souveniers, Ltd.",Singapore,Singapore,Medium
10164,49,136,100,6563.06,21/10/03,Resolved,4,OCTOBER,2003,Trucks and Buses,Mini Auto Werke,Graz,Austria,Medium
10174,43,136,100,6817.22,6/11/2003,Shipped,4,NOVEMBER,2003,Trucks and Buses,"Australian Gift Network, Co",South Brisbane,Australia,Medium
10183,41,136,100,6163.94,13/11/03,Shipped,4,NOVEMBER,2003,Trucks and Buses,"Classic Gift Ideas, Inc",Philadelphia,USA,Medium
10194,38,136,100,4933.92,25/11/03,Shipped,4,NOVEMBER,2003,Trucks and Buses,"Saveley & Henriot, Co.",Lyon,France,Medium
10206,28,136,100,4056.36,5/12/2003,Shipped,4,DECEMBER,2003,Trucks and Buses,Canadian Gift Exchange Network,Vancouver,Canada,Medium
10216,43,136,100,5759.42,2/2/2004,Shipped,1,FEBRUARY,2004,Trucks and Buses,Auto Assoc. & Cie.,Versailles,France,Medium
10229,25,136,100,3451,11/3/2004,Shipped,1,MARCH,2004,Trucks and Buses,Mini Gifts Distributors Ltd.,San Rafael,USA,Medium
10245,38,136,100,5920.4,4/5/2004,Shipped,2,MAY,2004,Trucks and Buses,Super Scale Inc.,New Haven,USA,Medium
10258,41,136,100,6668.24,15/06/04,Shipped,2,JUNE,2004,Trucks and Buses,"Tokyo Collectables, Ltd",Minato-ku,Japan,Medium
10270,28,136,100,4094.72,19/07/04,Shipped,3,JULY,2004,Trucks and Buses,Souveniers And Things Co.,Chatswood,Australia,Medium
10281,25,136,100,2938.5,19/08/04,Shipped,3,AUGUST,2004,Trucks and Buses,Diecast Classics Inc.,Allentown,USA,Small
10291,41,136,100,6387.8,8/9/2004,Shipped,3,SETPEMBER,2004,Trucks and Buses,Scandinavian Gift Ideas,Boras,Sweden,Medium
10304,39,136,100,6396,11/10/2004,Shipped,4,OCTOBER,2004,Trucks and Buses,Auto Assoc. & Cie.,Versailles,France,Medium
10313,21,136,100,2669.1,22/10/04,Shipped,4,OCTOBER,2004,Trucks and Buses,Canadian Gift Exchange Network,Vancouver,Canada,Small
10322,27,136,100,4784.13,4/11/2004,Shipped,4,NOVEMBER,2004,Trucks and Buses,Online Diecast Creations Co.,Nashua,USA,Medium
10333,33,136,99.21,3273.93,18/11/04,Shipped,4,NOVEMBER,2004,Trucks and Buses,Mini Wheels Co.,San Francisco,USA,Medium
10347,29,136,100,3586.43,29/11/04,Shipped,4,NOVEMBER,2004,Trucks and Buses,"Australian Collectors, Co.",Melbourne,Australia,Medium
10357,49,136,100,5960.36,10/12/2004,Shipped,4,DECEMBER,2004,Trucks and Buses,Mini Gifts Distributors Ltd.,San Rafael,USA,Medium
10370,49,136,100,8470.14,20/01/05,Shipped,1,JANUARY,2005,Trucks and Buses,"Anna's Decorations, Ltd",North Sydney,Australia,Large
10381,20,136,100,2952,17/02/05,Shipped,1,FEBRUARY,2005,Trucks and Buses,Corporate Gift Ideas Co.,San Francisco,USA,Small
10391,39,136,63.2,2464.8,9/3/2005,Shipped,1,MARCH,2005,Trucks and Buses,"Anna's Decorations, Ltd",North Sydney,Australia,Small
10411,40,136,100,6232,1/5/2005,Shipped,2,MAY,2005,Trucks and Buses,Quebec Home Shopping Network,Montreal,Canada,Medium
10424,49,136,100,7969.36,31/05/05,In Process,2,MAY,2005,Trucks and Buses,Euro Shopping Channel,Madrid,Spain,Large
10107,21,150,100,3036.6,24/02/03,Shipped,1,FEBRUARY,2003,Motorcycles,Land of Toys Inc.,NYC,USA,Medium
10121,50,150,100,8284,7/5/2003,Shipped,2,MAY,2003,Motorcycles,Reims Collectables,Reims,France,Large
10134,20,150,100,2711.2,1/7/2003,Shipped,3,JULY,2003,Motorcycles,Lyon Souveniers,Paris,France,Small
10145,49,150,100,8339.8,25/08/03,Shipped,3,AUGUST,2003,Motorcycles,Toys4GrownUps.com,Pasadena,USA,Large
10159,38,150,100,6238.84,10/10/2003,Shipped,4,OCTOBER,2003,Motorcycles,Corporate Gift Ideas Co.,San Francisco,USA,Medium
10169,35,150,100,4639.25,4/11/2003,Shipped,4,NOVEMBER,2003,Motorcycles,"Anna's Decorations, Ltd",North Sydney,Australia,Medium
10180,40,150,100,6747.6,11/11/2003,Shipped,4,NOVEMBER,2003,Motorcycles,Daedalus Designs Imports,Lille,France,Medium
10189,28,150,100,4512.48,18/11/03,Shipped,4,NOVEMBER,2003,Motorcycles,Toys4GrownUps.com,Pasadena,USA,Medium
10201,25,150,100,4029,1/12/2003,Shipped,4,DECEMBER,2003,Motorcycles,Mini Wheels Co.,San Francisco,USA,Medium
10211,36,150,100,4771.8,15/01/04,Shipped,1,JANUARY,2004,Motorcycles,Auto Canal Petit,Paris,France,Medium
10224,43,150,100,6087.94,21/02/04,Shipped,1,FEBRUARY,2004,Motorcycles,Daedalus Designs Imports,Lille,France,Medium
10237,32,150,100,4193.28,5/4/2004,Shipped,2,APRIL,2004,Motorcycles,Vitachrome Inc.,NYC,USA,Medium
10251,46,150,100,7552.28,18/05/04,Shipped,2,MAY,2004,Motorcycles,Tekni Collectables Inc.,Newark,USA,Large
10263,48,150,100,6434.4,28/06/04,Shipped,2,JUNE,2004,Motorcycles,Gift Depot Inc.,Bridgewater,USA,Medium
10276,43,150,100,5181.5,2/8/2004,Shipped,3,AUGUST,2004,Motorcycles,Online Mini Collectables,Brickhaven,USA,Medium
10285,49,150,100,6863.92,27/08/04,Shipped,3,AUGUST,2004,Motorcycles,Marta's Replicas Co.,Cambridge,USA,Medium
10299,24,150,100,4157.04,30/09/04,Shipped,3,SETPEMBER,2004,Motorcycles,"Toys of Finland, Co.",Helsinki,Finland,Medium
10309,26,150,100,4660.24,15/10/04,Shipped,4,OCTOBER,2004,Motorcycles,Baane Mini Imports,Stavern,Norway,Medium
10319,30,150,100,4111.8,3/11/2004,Shipped,4,NOVEMBER,2004,Motorcycles,Microscale Inc.,NYC,USA,Medium
10329,24,150,100,3542.64,15/11/04,Shipped,4,NOVEMBER,2004,Motorcycles,Land of Toys Inc.,NYC,USA,Medium
10341,55,150,100,8118.55,24/11/04,Shipped,4,NOVEMBER,2004,Motorcycles,Salzburg Collectables,Salzburg,Austria,Large
10362,22,150,100,3877.06,5/1/2005,Shipped,1,JANUARY,2005,Motorcycles,Technics Stores Inc.,Burlingame,USA,Medium
10375,49,150,78.92,3867.08,3/2/2005,Shipped,1,FEBRUARY,2005,Motorcycles,La Rochelle Gifts,Nantes,France,Medium
10388,44,150,100,5951.44,3/3/2005,Shipped,1,MARCH,2005,Motorcycles,FunGiftIdeas.com,New Bedford,USA,Medium
10403,66,150,100,8648.64,8/4/2005,Shipped,2,APRIL,2005,Motorcycles,"UK Collectables, Ltd.",Liverpool,UK,Large
10417,21,150,100,3447.78,13/05/05,Disputed,2,MAY,2005,Motorcycles,Euro Shopping Channel,Madrid,Spain,Medium
10104,34,151,100,5958.5,31/01/03,Shipped,1,JANUARY,2003,Classic Cars,Euro Shopping Channel,Madrid,Spain,Medium
10117,43,151,100,5911.64,16/04/03,Shipped,2,APRIL,2003,Classic Cars,"Dragon Souveniers, Ltd.",Singapore,Singapore,Medium
10127,46,151,100,7366.44,3/6/2003,Shipped,2,JUNE,2003,Classic Cars,Muscle Machine Inc,NYC,USA,Large
10142,33,151,100,4985.64,8/8/2003,Shipped,3,AUGUST,2003,Classic Cars,Mini Gifts Distributors Ltd.,San Rafael,USA,Medium
10153,42,151,100,5393.64,28/09/03,Shipped,3,SETPEMBER,2003,Classic Cars,Euro Shopping Channel,Madrid,Spain,Medium
10165,34,151,100,4880.02,22/10/03,Shipped,4,OCTOBER,2003,Classic Cars,"Dragon Souveniers, Ltd.",Singapore,Singapore,Medium
10176,47,151,100,8378.69,6/11/2003,Shipped,4,NOVEMBER,2003,Classic Cars,L'ordine Souveniers,Reggio Emilia,Italy,Large
10185,33,151,100,4038.21,14/11/03,Shipped,4,NOVEMBER,2003,Classic Cars,Mini Creations Ltd.,New Bedford,USA,Medium
10196,24,151,100,3807.12,26/11/03,Shipped,4,NOVEMBER,2003,Classic Cars,Super Scale Inc.,New Haven,USA,Medium
10208,26,151,100,3142.36,2/1/2004,Shipped,1,JANUARY,2004,Classic Cars,"Saveley & Henriot, Co.",Lyon,France,Medium
10220,30,151,100,4713.6,12/2/2004,Shipped,1,FEBRUARY,2004,Classic Cars,"Clover Collections, Co.",Dublin,Ireland,Medium
10230,43,151,100,7016.31,15/03/04,Shipped,1,MARCH,2004,Classic Cars,"Blauer See Auto, Co.",Frankfurt,Germany,Large
10247,25,151,100,4381.25,5/5/2004,Shipped,2,MAY,2004,Classic Cars,Suominen Souveniers,Espoo,Finland,Medium
10272,27,151,100,4283.01,20/07/04,Shipped,3,JULY,2004,Classic Cars,Diecast Classics Inc.,Allentown,USA,Medium
10282,27,151,100,4364.82,20/08/04,Shipped,3,AUGUST,2004,Classic Cars,Mini Gifts Distributors Ltd.,San Rafael,USA,Medium
10293,24,151,100,4242.24,9/9/2004,Shipped,3,SETPEMBER,2004,Classic Cars,Amica Models & Co.,Torino,Italy,Medium
10306,34,151,100,4982.7,14/10/04,Shipped,4,OCTOBER,2004,Classic Cars,"AV Stores, Co.",Manchester,UK,Medium
10314,46,151,100,6393.54,22/10/04,Shipped,4,OCTOBER,2004,Classic Cars,Heintze Collectables,Aaarhus,Denmark,Medium
10324,27,151,54.33,1466.91,5/11/2004,Shipped,4,NOVEMBER,2004,Classic Cars,Vitachrome Inc.,NYC,USA,Small
10336,33,151,100,4059.33,20/11/04,Shipped,4,NOVEMBER,2004,Classic Cars,"La Corne D'abondance, Co.",Paris,France,Medium
10348,47,151,100,4801.52,1/11/2004,Shipped,4,NOVEMBER,2004,Classic Cars,"Corrida Auto Replicas, Ltd",Madrid,Spain,Medium
10358,49,151,55.34,2711.66,10/12/2004,Shipped,4,DECEMBER,2004,Classic Cars,Euro Shopping Channel,Madrid,Spain,Small
10372,40,151,100,5862,26/01/05,Shipped,1,JANUARY,2005,Classic Cars,"Tokyo Collectables, Ltd",Minato-ku,Japan,Medium
10382,37,151,100,4071.85,17/02/05,Shipped,1,FEBRUARY,2005,Classic Cars,Mini Gifts Distributors Ltd.,San Rafael,USA,Medium
10413,47,151,100,8236.75,5/5/2005,Shipped,2,MAY,2005,Classic Cars,Gift Depot Inc.,Bridgewater,USA,Large
10108,45,117,100,6130.35,3/3/2003,Shipped,1,MARCH,2003,Classic Cars,Cruz & Sons Co.,Makati City,Philippines,Medium
10122,37,117,99.82,3693.34,8/5/2003,Shipped,2,MAY,2003,Classic Cars,Marseille Mini Autos,Marseille,France,Medium
10135,48,117,100,6031.68,2/7/2003,Shipped,3,JULY,2003,Classic Cars,Mini Gifts Distributors Ltd.,San Rafael,USA,Medium
10147,31,117,100,3494.94,5/9/2003,Shipped,3,SETPEMBER,2003,Classic Cars,Collectables For Less Inc.,Brickhaven,USA,Medium
10160,46,117,100,5294.14,11/10/2003,Shipped,4,OCTOBER,2003,Classic Cars,"Men 'R' US Retailers, Ltd.",Los Angeles,USA,Medium
10170,47,117,100,5464.69,4/11/2003,Shipped,4,NOVEMBER,2003,Classic Cars,Mini Auto Werke,Graz,Austria,Medium
10181,28,117,100,2860.76,12/11/2003,Shipped,4,NOVEMBER,2003,Classic Cars,Herkku Gifts,Bergen,Norway,Small
10191,40,117,100,5590,20/11/03,Shipped,4,NOVEMBER,2003,Classic Cars,"Toms Spezialitten, Ltd",Koln,Germany,Medium
10203,20,117,100,2254.8,2/12/2003,Shipped,4,DECEMBER,2003,Classic Cars,Euro Shopping Channel,Madrid,Spain,Small
10212,39,117,100,4946.76,16/01/04,Shipped,1,JANUARY,2004,Classic Cars,Euro Shopping Channel,Madrid,Spain,Medium
10225,25,117,99.82,2495.5,22/02/04,Shipped,1,FEBRUARY,2004,Classic Cars,"Vida Sport, Ltd",Gensve,Switzerland,Small
10238,29,117,100,3167.38,9/4/2004,Shipped,2,APRIL,2004,Classic Cars,Danish Wholesale Imports,Kobenhavn,Denmark,Medium
10253,22,117,100,2402.84,1/6/2004,Cancelled,2,JUNE,2004,Classic Cars,"UK Collectables, Ltd.",Liverpool,UK,Small
10266,22,117,100,2454.54,6/7/2004,Shipped,3,JULY,2004,Classic Cars,L'ordine Souveniers,Reggio Emilia,Italy,Small
10276,47,117,100,5464.69,2/8/2004,Shipped,3,AUGUST,2004,Classic Cars,Online Mini Collectables,Brickhaven,USA,Medium
10287,45,117,100,4756.5,30/08/04,Shipped,3,AUGUST,2004,Classic Cars,"Vida Sport, Ltd",Gensve,Switzerland,Medium
10300,29,117,100,3984.6,4/10/2003,Shipped,4,OCTOBER,2003,Classic Cars,"Blauer See Auto, Co.",Frankfurt,Germany,Medium
10310,24,117,100,3100.32,16/10/04,Shipped,4,OCTOBER,2004,Classic Cars,"Toms Spezialitten, Ltd",Koln,Germany,Medium
10320,35,117,100,4850.3,3/11/2004,Shipped,4,NOVEMBER,2004,Classic Cars,"Volvo Model Replicas, Co",Lule,Sweden,Medium
10329,46,117,83.63,3846.98,15/11/04,Shipped,4,NOVEMBER,2004,Classic Cars,Land of Toys Inc.,NYC,USA,Medium
10341,44,117,95.93,4220.92,24/11/04,Shipped,4,NOVEMBER,2004,Classic Cars,Salzburg Collectables,Salzburg,Austria,Medium
10363,34,117,96.73,3288.82,6/1/2005,Shipped,1,JANUARY,2005,Classic Cars,Suominen Souveniers,Espoo,Finland,Medium
10376,35,117,100,3987.2,8/2/2005,Shipped,1,FEBRUARY,2005,Classic Cars,Boards & Toys Co.,Glendale,USA,Medium
10389,25,117,72.38,1809.5,3/3/2005,Shipped,1,MARCH,2005,Classic Cars,Scandinavian Gift Ideas,Boras,Sweden,Small
10419,10,117,100,1092.2,17/05/05,Shipped,2,MAY,2005,Classic Cars,Salzburg Collectables,Salzburg,Austria,Small
10105,29,173,100,4566.05,11/2/2003,Shipped,1,FEBRUARY,2003,Classic Cars,Danish Wholesale Imports,Kobenhavn,Denmark,Medium
10117,39,173,100,5938.14,16/04/03,Shipped,2,APRIL,2003,Classic Cars,"Dragon Souveniers, Ltd.",Singapore,Singapore,Medium
10127,42,173,100,8138.76,3/6/2003,Shipped,2,JUNE,2003,Classic Cars,Muscle Machine Inc,NYC,USA,Large
10142,46,173,100,9470.94,8/8/2003,Shipped,3,AUGUST,2003,Classic Cars,Mini Gifts Distributors Ltd.,San Rafael,USA,Large
10153,49,173,100,7036.89,28/09/03,Shipped,3,SETPEMBER,2003,Classic Cars,Euro Shopping Channel,Madrid,Spain,Large
10165,27,173,100,5559.03,22/10/03,Shipped,4,OCTOBER,2003,Classic Cars,"Dragon Souveniers, Ltd.",Singapore,Singapore,Medium
10176,50,173,100,7872.5,6/11/2003,Shipped,4,NOVEMBER,2003,Classic Cars,L'ordine Souveniers,Reggio Emilia,Italy,Large
10185,43,173,100,7886.2,14/11/03,Shipped,4,NOVEMBER,2003,Classic Cars,Mini Creations Ltd.,New Bedford,USA,Large
10196,38,173,100,7232.16,26/11/03,Shipped,4,NOVEMBER,2003,Classic Cars,Super Scale Inc.,New Haven,USA,Large
10208,20,173,100,3114.4,2/1/2004,Shipped,1,JANUARY,2004,Classic Cars,"Saveley & Henriot, Co.",Lyon,France,Medium
10220,27,173,100,5045.22,12/2/2004,Shipped,1,FEBRUARY,2004,Classic Cars,"Clover Collections, Co.",Dublin,Ireland,Medium
10231,49,173,100,6952.12,19/03/04,Shipped,1,MARCH,2004,Classic Cars,CAF Imports,Madrid,Spain,Medium
10247,27,173,100,4157.73,5/5/2004,Shipped,2,MAY,2004,Classic Cars,Suominen Souveniers,Espoo,Finland,Medium
10272,39,173,100,7962.24,20/07/04,Shipped,3,JULY,2004,Classic Cars,Diecast Classics Inc.,Allentown,USA,Large
10282,24,173,100,3778.8,20/08/04,Shipped,3,AUGUST,2004,Classic Cars,Mini Gifts Distributors Ltd.,San Rafael,USA,Medium
10293,45,173,100,8253,9/9/2004,Shipped,3,SETPEMBER,2004,Classic Cars,Amica Models & Co.,Torino,Italy,Large
10306,20,173,100,3633.4,14/10/04,Shipped,4,OCTOBER,2004,Classic Cars,"AV Stores, Co.",Manchester,UK,Medium
10314,36,173,100,6913.8,22/10/04,Shipped,4,OCTOBER,2004,Classic Cars,Heintze Collectables,Aaarhus,Denmark,Medium
10325,24,173,100,2583.6,5/11/2004,Shipped,4,NOVEMBER,2004,Classic Cars,Baane Mini Imports,Stavern,Norway,Small
10336,49,173,63.38,3105.62,20/11/04,Shipped,4,NOVEMBER,2004,Classic Cars,"La Corne D'abondance, Co.",Paris,France,Medium
10349,26,173,100,4408.56,1/12/2004,Shipped,4,DECEMBER,2004,Classic Cars,Muscle Machine Inc,NYC,USA,Medium
10359,49,173,62.09,3042.41,15/12/04,Shipped,4,DECEMBER,2004,Classic Cars,Reims Collectables,Reims,France,Medium
10372,34,173,100,5941.5,26/01/05,Shipped,1,JANUARY,2005,Classic Cars,"Tokyo Collectables, Ltd",Minato-ku,Japan,Medium
10382,34,173,95.35,3241.9,17/02/05,Shipped,1,FEBRUARY,2005,Classic Cars,Mini Gifts Distributors Ltd.,San Rafael,USA,Medium
10396,33,173,100,6109.29,23/03/05,Shipped,1,MARCH,2005,Classic Cars,Mini Gifts Distributors Ltd.,San Rafael,USA,Medium
10413,22,173,100,3387.78,5/5/2005,Shipped,2,MAY,2005,Classic Cars,Gift Depot Inc.,Bridgewater,USA,Medium
10108,39,79,89.38,3485.82,3/3/2003,Shipped,1,MARCH,2003,Classic Cars,Cruz & Sons Co.,Makati City,Philippines,Medium
10122,32,79,63.84,2042.88,8/5/2003,Shipped,2,MAY,2003,Classic Cars,Marseille Mini Autos,Marseille,France,Small
10135,24,79,75.01,1800.24,2/7/2003,Shipped,3,JULY,2003,Classic Cars,Mini Gifts Distributors Ltd.,San Rafael,USA,Small
10147,21,79,63.84,1340.64,5/9/2003,Shipped,3,SETPEMBER,2003,Classic Cars,Collectables For Less Inc.,Brickhaven,USA,Small
10159,24,79,73.42,1762.08,10/10/2003,Shipped,4,OCTOBER,2003,Classic Cars,Corporate Gift Ideas Co.,San Francisco,USA,Small
10169,36,79,63.84,2298.24,4/11/2003,Shipped,4,NOVEMBER,2003,Classic Cars,"Anna's Decorations, Ltd",North Sydney,Australia,Small
10181,20,79,81.4,1628,12/11/2003,Shipped,4,NOVEMBER,2003,Classic Cars,Herkku Gifts,Bergen,Norway,Small
10191,30,79,64.64,1939.2,20/11/03,Shipped,4,NOVEMBER,2003,Classic Cars,"Toms Spezialitten, Ltd",Koln,Germany,Small
10203,44,79,82.99,3651.56,2/12/2003,Shipped,4,DECEMBER,2003,Classic Cars,Euro Shopping Channel,Madrid,Spain,Medium
10211,28,79,92.57,2591.96,15/01/04,Shipped,1,JANUARY,2004,Classic Cars,Auto Canal Petit,Paris,France,Small
10225,37,79,77.41,2864.17,22/02/04,Shipped,1,FEBRUARY,2004,Classic Cars,"Vida Sport, Ltd",Gensve,Switzerland,Small
10238,20,79,74.21,1484.2,9/4/2004,Shipped,2,APRIL,2004,Classic Cars,Danish Wholesale Imports,Kobenhavn,Denmark,Small
10253,25,79,90.17,2254.25,1/6/2004,Cancelled,2,JUNE,2004,Classic Cars,"UK Collectables, Ltd.",Liverpool,UK,Small
10266,35,79,76.61,2681.35,6/7/2004,Shipped,3,JULY,2004,Classic Cars,L'ordine Souveniers,Reggio Emilia,Italy,Small
10276,38,79,83.79,3184.02,2/8/2004,Shipped,3,AUGUST,2004,Classic Cars,Online Mini Collectables,Brickhaven,USA,Medium
10287,41,79,69.43,2846.63,30/08/04,Shipped,3,AUGUST,2004,Classic Cars,"Vida Sport, Ltd",Gensve,Switzerland,Small
10300,22,79,76.61,1685.42,4/10/2003,Shipped,4,OCTOBER,2003,Classic Cars,"Blauer See Auto, Co.",Frankfurt,Germany,Small
10310,49,79,81.4,3988.6,16/10/04,Shipped,4,OCTOBER,2004,Classic Cars,"Toms Spezialitten, Ltd",Koln,Germany,Medium
10320,38,79,73.42,2789.96,3/11/2004,Shipped,4,NOVEMBER,2004,Classic Cars,"Volvo Model Replicas, Co",Lule,Sweden,Small
10329,33,79,100,3607.56,15/11/04,Shipped,4,NOVEMBER,2004,Classic Cars,Land of Toys Inc.,NYC,USA,Medium
10341,36,79,93.56,3368.16,24/11/04,Shipped,4,NOVEMBER,2004,Classic Cars,Salzburg Collectables,Salzburg,Austria,Medium
10363,34,79,81.62,2775.08,6/1/2005,Shipped,1,JANUARY,2005,Classic Cars,Suominen Souveniers,Espoo,Finland,Small
10377,24,79,67.83,1627.92,9/2/2005,Shipped,1,FEBRUARY,2005,Classic Cars,"Toys of Finland, Co.",Helsinki,Finland,Small
10389,36,79,70.26,2529.36,3/3/2005,Shipped,1,MARCH,2005,Classic Cars,Scandinavian Gift Ideas,Boras,Sweden,Small
10419,34,79,90.17,3065.78,17/05/05,Shipped,2,MAY,2005,Classic Cars,Salzburg Collectables,Salzburg,Austria,Medium
10104,41,118,100,4615.78,31/01/03,Shipped,1,JANUARY,2003,Trucks and Buses,Euro Shopping Channel,Madrid,Spain,Medium
10115,46,118,100,5723.78,4/4/2003,Shipped,2,APRIL,2003,Trucks and Buses,Classic Legends Inc.,NYC,USA,Medium
10127,24,118,100,2559.6,3/6/2003,Shipped,2,JUNE,2003,Trucks and Buses,Muscle Machine Inc,NYC,USA,Small
10141,21,118,100,2140.11,1/8/2003,Shipped,3,AUGUST,2003,Trucks and Buses,Suominen Souveniers,Espoo,Finland,Small
10151,24,118,100,3327.6,21/09/03,Shipped,3,SETPEMBER,2003,Trucks and Buses,"Oulu Toy Supplies, Inc.",Oulu,Finland,Medium
10165,48,118,100,6825.6,22/10/03,Shipped,4,OCTOBER,2003,Trucks and Buses,"Dragon Souveniers, Ltd.",Singapore,Singapore,Medium
10175,26,118,100,3543.28,6/11/2003,Shipped,4,NOVEMBER,2003,Trucks and Buses,"Stylish Desk Decors, Co.",London,UK,Medium
10184,37,118,100,4516.22,14/11/03,Shipped,4,NOVEMBER,2003,Trucks and Buses,"Iberia Gift Imports, Corp.",Sevilla,Spain,Medium
10195,49,118,100,6445.46,25/11/03,Shipped,4,NOVEMBER,2003,Trucks and Buses,Mini Classics,White Plains,USA,Medium
10207,34,118,99.54,3384.36,9/12/2003,Shipped,4,DECEMBER,2003,Trucks and Buses,Diecast Collectables,Boston,USA,Medium
10219,48,118,100,4891.68,10/2/2004,Shipped,1,FEBRUARY,2004,Trucks and Buses,Signal Collectibles Ltd.,Brisbane,USA,Medium
10229,36,118,100,4521.96,11/3/2004,Shipped,1,MARCH,2004,Trucks and Buses,Mini Gifts Distributors Ltd.,San Rafael,USA,Medium
10246,46,118,100,5069.66,5/5/2004,Shipped,2,MAY,2004,Trucks and Buses,Euro Shopping Channel,Madrid,Spain,Medium
10259,46,118,100,6541.2,15/06/04,Shipped,2,JUNE,2004,Trucks and Buses,Handji Gifts& Co,Singapore,Singapore,Medium
10271,31,118,97.17,3012.27,20/07/04,Shipped,3,JULY,2004,Trucks and Buses,Mini Gifts Distributors Ltd.,San Rafael,USA,Medium
10281,41,118,100,5247.18,19/08/04,Shipped,3,AUGUST,2004,Trucks and Buses,Diecast Classics Inc.,Allentown,USA,Medium
10292,21,118,100,2214.87,8/9/2004,Shipped,3,SETPEMBER,2004,Trucks and Buses,Land of Toys Inc.,NYC,USA,Small
10305,38,118,100,4773.18,13/10/04,Shipped,4,OCTOBER,2004,Trucks and Buses,Marta's Replicas Co.,Cambridge,USA,Medium
10314,45,118,100,6185.7,22/10/04,Shipped,4,OCTOBER,2004,Trucks and Buses,Heintze Collectables,Aaarhus,Denmark,Medium
10324,26,118,58.38,1517.88,5/11/2004,Shipped,4,NOVEMBER,2004,Trucks and Buses,Vitachrome Inc.,NYC,USA,Small
10336,38,118,100,6372.6,20/11/04,Shipped,4,NOVEMBER,2004,Trucks and Buses,"La Corne D'abondance, Co.",Paris,France,Medium
10349,48,118,100,5232.96,1/12/2004,Shipped,4,DECEMBER,2004,Trucks and Buses,Muscle Machine Inc,NYC,USA,Medium
10358,42,118,64.16,2694.72,10/12/2004,Shipped,4,DECEMBER,2004,Trucks and Buses,Euro Shopping Channel,Madrid,Spain,Small
10371,49,118,35.71,1749.79,23/01/05,Shipped,1,JANUARY,2005,Trucks and Buses,Mini Gifts Distributors Ltd.,San Rafael,USA,Small
10382,32,118,66.58,2130.56,17/02/05,Shipped,1,FEBRUARY,2005,Trucks and Buses,Mini Gifts Distributors Ltd.,San Rafael,USA,Small
10412,54,118,100,5951.34,3/5/2005,Shipped,2,MAY,2005,Trucks and Buses,Euro Shopping Channel,Madrid,Spain,Medium
10425,33,118,100,4692.6,31/05/05,In Process,2,MAY,2005,Trucks and Buses,La Rochelle Gifts,Nantes,France,Medium
10108,36,115,100,3731.04,3/3/2003,Shipped,1,MARCH,2003,Classic Cars,Cruz & Sons Co.,Makati City,Philippines,Medium
10122,20,115,100,2142,8/5/2003,Shipped,2,MAY,2003,Classic Cars,Marseille Mini Autos,Marseille,France,Small
10135,29,115,97.89,2838.81,2/7/2003,Shipped,3,JULY,2003,Classic Cars,Mini Gifts Distributors Ltd.,San Rafael,USA,Small
10147,33,115,97.89,3230.37,5/9/2003,Shipped,3,SETPEMBER,2003,Classic Cars,Collectables For Less Inc.,Brickhaven,USA,Medium
